PressureSensor 0,PressureSensor 1,PressureSensor 2,PressureSensor 3,PressureSensor 4,PressureSensor 5,PressureSensor 6,PressureSensor 7,PressureSensor 8,PressureSensor 9,PressureSensor 10,PressureSensor 11,PressureSensor 12,PressureSensor 13,PressureSensor 14,PressureSensor 15,PressureSensor 16,PressureSensor 17,PressureSensor 18,PressureSensor 19,PressureSensor 20,PressureSensor 21,PressureSensor 22,PressureSensor 23,PressureSensor 24,PressureSensor 25,PressureSensor 26,PressureSensor 27,PressureSensor 28,PressureSensor 29,PressureSensor 30,PressureSensor 31,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,copX,copY,sumP
791,950,1138,1224,2346,2083,2233,1676,1305,1452,1017,680,456,88,21,37,315,752,1075,1138,481,776,1065,1471,1158,528,536,368,171,623,21,23,-1346,2277,7999,-65,400,-285,105.36963354525324,263.08447031930854,27998
780,917,1090,1262,2394,2141,2320,1805,1374,1489,1077,763,505,101,21,43,230,713,1038,982,381,666,979,1335,1186,562,566,421,190,662,21,23,-1346,2277,7999,-65,400,-285,105.78599707529337,254.3544245104683,28037
767,881,1042,1295,2424,2198,2399,1939,1443,1526,1137,841,552,113,21,55,146,668,973,849,267,547,901,1170,1233,618,605,448,223,707,21,23,-1294,2317,7950,41,424,-253,106.19245861872146,245.07311287100453,28032
737,828,982,1309,2438,2220,2464,2083,1493,1568,1214,934,623,125,21,65,76,627,914,688,182,465,848,1021,1304,680,662,512,250,780,21,24,-1330,2431,7943,-59,519,-310,106.0313942751616,235.84672206832872,28158
704,776,917,1325,2451,2224,2521,2211,1532,1614,1293,1007,676,140,21,77,43,574,834,517,103,383,789,869,1362,756,745,588,292,855,21,26,-1423,2297,8046,-165,590,-368,105.66963463853288,226.79002336614036,28246
660,713,842,1330,2454,2223,2608,2354,1584,1653,1378,1123,713,159,21,91,20,519,744,348,48,299,692,720,1412,853,813,677,332,929,21,27,-1385,2306,8179,-233,803,-416,105.3953808180536,217.45650564174892,28360
600,619,751,1296,2441,2221,2439,2508,1613,1699,1485,1232,760,190,22,107,19,445,627,191,21,193,707,531,1469,976,909,806,372,1009,22,28,-1393,2427,8177,-366,1110,-501,104.32056309170552,207.7093224530168,28308
501,470,594,1238,2402,2234,2869,2725,1664,1796,1655,1309,788,219,21,115,19,373,496,56,19,86,354,282,1531,1131,1032,939,412,1083,21,31,-1393,2427,8177,-366,1110,-501,104.3540312664676,194.83068680836115,28465
382,341,370,1128,2365,2235,3069,2882,1710,1861,1872,1324,830,247,22,141,19,246,319,19,19,19,126,78,1611,1291,1180,1127,456,1174,22,51,-1409,2434,8227,-532,1503,-656,103.2318474908887,182.69987033922064,28536
285,200,156,979,2244,2159,3166,2954,1752,1946,2077,1353,894,284,21,187,19,109,152,19,19,19,21,20,1682,1470,1305,1314,540,1244,30,60,-1620,2355,8441,-673,2181,-912,101.31448744769874,173.39464783821478,28680
